item_id,model,strategy,duration_ms,tp,fp,fn,ground_truth,predictions,prediction_source,mapped_rule_ids,schema_valid,parse_failed,empty_response,error,error_class,has_prediction,raw_output_excerpt
709_0,llama-4-scout-17b-16e-instruct,zero-shot,29446,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
716_0,llama-4-scout-17b-16e-instruct,zero-shot,27570,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
710_0,llama-4-scout-17b-16e-instruct,zero-shot,29442,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
711_0,llama-4-scout-17b-16e-instruct,zero-shot,29491,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
707_0,llama-4-scout-17b-16e-instruct,zero-shot,27585,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
713_0,llama-4-scout-17b-16e-instruct,zero-shot,29296,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
714_0,llama-4-scout-17b-16e-instruct,zero-shot,29305,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
715_0,llama-4-scout-17b-16e-instruct,zero-shot,29320,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
712_0,llama-4-scout-17b-16e-instruct,zero-shot,27814,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
3871549955_0,llama-4-scout-17b-16e-instruct,zero-shot,6409,0,0,2,4.1.1|1.4.6,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
4643564980_0,llama-4-scout-17b-16e-instruct,zero-shot,6497,0,0,2,4.1.1|1.4.6,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
853326546_0,llama-4-scout-17b-16e-instruct,zero-shot,7415,0,1,2,4.1.1|1.4.6,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
7965215914_0,llama-4-scout-17b-16e-instruct,zero-shot,7329,0,1,2,4.1.1|1.4.6,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
111849147_0,llama-4-scout-17b-16e-instruct,zero-shot,7317,0,1,2,4.1.1|1.4.6,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
2182179087_0,llama-4-scout-17b-16e-instruct,zero-shot,5883,0,0,2,4.1.1|1.4.6,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
37517988_0,llama-4-scout-17b-16e-instruct,zero-shot,7702,0,1,4,2.1.1|4.1.1|2.4.3|1.4.6,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Multiple Labels"", ""category"": ""semantic"",
   ""html"": ""<input type='checkbox' id='fail2'/> <label for='fail2'>label one</label> <label for='fail2'>label two</label>"", 
   ""target"": ""input"", ""description"": ""Form field has multiple labels."", ""impact"": ""moderate"", ""confidence"": 0.9}
]}"
581517740_0,llama-4-scout-17b-16e-instruct,zero-shot,13432,0,2,2,4.1.1|1.4.6,1.3.1|4.1.2,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Navigation Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<nav aria-label='Main Menu' class='main-navigation'>"", ""target"": ""nav"",
   ""description"": ""Navigation landmark is present but lacks a programmatically determinable name."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Banner Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<header class='site-header' id='masthead'>"", ""target"": ""header"",
   ""description"": ""Header landmark is present but lacks a programmatically determ"
128813600_0,llama-4-scout-17b-16e-instruct,zero-shot,8041,1,0,5,1.3.1|1.4.6|2.4.4|1.1.1|2.4.9|4.1.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='search' id='searchInput' name='search'>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
1966382623_0,llama-4-scout-17b-16e-instruct,zero-shot,13313,1,0,9,2.4.3|2.1.1|2.4.6|2.4.1|1.3.1|1.4.6|2.4.4|1.1.1|2.4.9|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Alternative Text"", ""category"": ""semantic"",
   ""html"": ""<img alt='' class='p2-photo' src='https://www.gannett-cdn.com/authoring/authoring-images/2025/07/23/USAT/85342296007-20250723-vpc-epstein-trump-relationship-explained-thumb-00-00-01-04-still-005.jpg?crop=1919,1079,x0,y0&amp;quality=50&amp;width=420'/>"", ""target"": ""img"",
   ""description"": ""Image lacks alternative text."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Alternative Text"", ""category"": ""semantic"",
   ""html"": ""<img al"
515_0,llama-4-scout-17b-16e-instruct,zero-shot,9575,1,1,7,1.3.1|2.4.3|1.4.3|1.4.6|2.1.1|2.4.4|2.4.9|4.1.2,1.3.1|1.3.5,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input class=\""search-form__input\"" id=\""\"" name=\""s\"" placeholder=\""Search\"" type=\""search\"" value=\""\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.5"", ""violationName"": ""Hidden Content"", ""category"": ""semantic"",
   ""html"": ""<div class=\""adthrive-player-settings\"" style=\""display: none;\""></div>"", ""target"": ""div"",
   ""description"": ""Content is hidden for sighted users but exposed to screen r"
516_0,llama-4-scout-17b-16e-instruct,zero-shot,9166,1,0,7,1.3.1|2.4.3|1.4.3|1.4.6|2.1.1|2.4.4|2.4.9|4.1.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input class=\""search-form__input\"" id=\""\"" name=\""s\"" placeholder=\""Search\"" type=\""search\"" value=\""\""/>"", 
   ""target"": ""input"", ""description"": ""Form field lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<button class=\""search-form__submit\"" type=\""submit\""><span class=\""search-form__submit-label\"">Search</span><span class=\""search-form__submit-icon\""></span></button>"", "
517_0,llama-4-scout-17b-16e-instruct,zero-shot,13080,1,2,7,1.3.1|2.4.3|1.4.3|1.4.6|2.1.1|2.4.4|2.4.9|4.1.2,1.3.1|1.3.5|3.2.4,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Alternative Text"", ""category"": ""semantic"",
   ""html"": ""<img alt='' height='5' id='wpstats' src='https://pixel.wp.com/g.gif?v=ext&amp;blog=122404920&amp;post=0&amp;tz=-5&amp;srv=fitbottomedgirls.com&amp;arch_cat=eats%2Fnutrition&amp;arch_results=12&amp;j=1%3A14.8&amp;host=fitbottomedgirls.com&amp;ref=&amp;fcp=608&amp;rand=0.7001959357221881' width='6'/>"", ""target"": ""img"",
   ""description"": ""Image lacks alternative text."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.5"", ""violationName"": ""Hidden Content"", ""cate"
5627013288_0,llama-4-scout-17b-16e-instruct,zero-shot,7609,1,0,7,1.4.3|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""search\"" class=\""form-control form-control-lg rounded-pill border-0 shadow-sm\"" name=\""text\"" placeholder=\""Search for resources...\"" type=\""search\"" />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
8654682977_0,llama-4-scout-17b-16e-instruct,zero-shot,23071,1,2,5,1.3.1|1.4.6|2.4.6|1.1.1|4.1.2|4.1.1,1.3.1|1.4.1|2.1.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input name='keys' placeholder='Search Here...' type='text'/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<button class='close' type='button'><svg class='svg-close' height='18' viewbox='0 0 18 18' width='18' xmlns='http://www.w3.org/2000/svg'>...</svg></button>"", ""target"": ""button"",
   ""description"": ""Button lacks as"
4770170269_0,llama-4-scout-17b-16e-instruct,zero-shot,7701,1,0,10,3.1.1|1.4.4|1.4.3|2.4.6|1.3.1|1.4.6|2.4.4|1.1.1|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input autocomplete='off' class='search-form_input' id='txtSearch' name='s' placeholder='' spellcheck='false' type='text'/>"", 
   ""target"": ""input"", ""description"": ""Form field lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9}
]}"
548_0,llama-4-scout-17b-16e-instruct,zero-shot,9558,1,0,3,1.3.1|3.1.1|1.4.6|4.1.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Table headers missing"", ""category"": ""semantic"",
   ""html"": ""<table border=\""0\"" cellpadding=\""0\"" cellspacing=\""0\"" width=\""663\"">...</table>"", 
   ""target"": ""table"", 
   ""description"": ""The table is missing proper header markup."",
   ""impact"": ""serious"", 
   ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input alt=\""Search box\"" name=\""q\"" size=\""18\"" type=\""text\""/> <input title=\""Search\"" type=\""submit\"" value=\""Search\""/>"", 
   ""target"": ""input"", 
   ""description"":"
6666281102_0,llama-4-scout-17b-16e-instruct,zero-shot,13380,1,0,2,1.3.1|2.4.6|1.4.6,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Search\"" class=\""w-100\"" name=\""q\"" type=\""text\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<button class=\""submit btn font-weight-bold px-3 btn-primary md-and-above-only\"" type=\""submit\"">Search</button>"", ""target"": ""button"",
   ""description"": ""Button lacks associated label."",
   ""impact"": ""s"
5424827103_0,llama-4-scout-17b-16e-instruct,zero-shot,13297,1,0,0,1.3.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input class=\""form-text\"" data-drupal-selector=\""edit-keywords\"" id=\""edit-keywords\"" maxlength=\""128\"" name=\""keywords\"" placeholder=\""Search\"" size=\""30\"" type=\""text\"" value=\""\""/>"", 
   ""target"": ""input"", ""description"": ""Form field lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input autocomplete=\""off\"" class=\""form-text\"" data-drupal-selector=\""edit-url\"" id=\""edit"
1499175565_0,llama-4-scout-17b-16e-instruct,zero-shot,2298,1,0,1,1.3.1|3.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Meaning of Center Element"", ""category"": ""semantic"",
   ""html"": ""<center><h1>403 Forbidden</h1></center>"", ""target"": ""center"",
   ""description"": ""The center element is deprecated and should not be used."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
8649911099_0,llama-4-scout-17b-16e-instruct,zero-shot,11723,1,0,2,1.3.1|1.4.3|1.4.6,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {
    ""wcagCode"": ""1.3.1"",
    ""violationName"": ""Missing Label"",
    ""category"": ""semantic"",
    ""html"": ""<input class=\""form-search\"" data-drupal-selector=\""edit-keys\"" id=\""edit-keys\"" maxlength=\""128\"" name=\""keys\"" placeholder=\""Search\"" size=\""20\"" type=\""search\"" value=\""\""/>"",
    ""target"": ""input"",
    ""description"": ""Form field lacks associated label."",
    ""impact"": ""serious"",
    ""confidence"": 0.9
  },
  {
    ""wcagCode"": ""1.3.1"",
    ""violationName"": ""Incorrectly Used Heading"",
    ""category"": ""semantic"",
    ""html"": ""<h2 class=\""section-heading\"">Sign up for our"
8773059234_0,llama-4-scout-17b-16e-instruct,zero-shot,15752,1,0,4,1.3.1|1.4.6|2.4.6|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<button aria-controls=\""menu-popover\"" aria-expanded=\""false\"" aria-haspopup=\""true\"" aria-label=\""Toggle Meta Navigation Menu\"" class=\""expand\"" tabindex=\""0\"" type=\""button\""><span></span></button>"", 
   ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<span aria-label=\""dismiss\"" class=\""put-away\"" data-nudge-action=\""dismissed\"""
